"","x","y","lslpts","slope","cplan","cprof","elev","log10_carea"
"1670",713315.7021,9558009.8054,"TRUE",47.1052513122559,-0.0517989248037338,0.00474644498899579,2347.148,2.83769406903522
"1642",714151.6621,9558959.281,"TRUE",38.666618347168,0.0425942279398441,0.00231647654436529,2336.739,2.2423398552945
"124",713717.726935,9559106.759956,"FALSE",39.6333961486816,0.0319947563111782,0.00891565252095461,2355.501,2.74415708244944
"1296",713077.726935,9558766.759956,"FALSE",45.905933380127,-0.0105399806052446,0.00431998260319233,2138.944,3.21394869499716
"16991",713566.405,9557503.3263,"TRUE",53.1105613708496,-0.0233906675130129,0.003876170841977,2427.515,2.89036097252966
"208",713387.726935,9559236.759956,"FALSE",23.4217205047607,-0.207157418131828,-0.0104767726734281,2241.78,4.35424792453954
"901",713077.726935,9558196.759956,"FALSE",49.6905288696289,0.017077311873436,-0.00402948725968599,2279.297,2.64242521047282
"1797",714017.6623,9559267.4409,"TRUE",24.117280960083,-0.115558296442032,-0.0154662737622857,2289.337,3.19380584335536
"839",714597.726935,9557526.759956,"FALSE",24.4765453338623,0.10710085183382,0.0127287218347192,2729.665,2.11464390325598
"1707",715372.6991,9557755.4511,"TRUE",55.0987739562988,0.0127706276252866,-0.000277994142379612,2893.675,2.84823814320274
"255",714817.726935,9558816.759956,"FALSE",45.3912124633789,-0.0222615897655487,0.00115647609345615,2391.023,2.83360858292319
"904",714907.726935,9557936.759956,"FALSE",37.2130584716797,-0.00109491613693535,0.0100670270621777,2827.399,2.38958534534082
"1661",713892.0104,9558115.8789,"TRUE",39.6441268920898,-0.124981209635735,-0.024592699483037,2443.322,2.95050372768621
"827",714137.726935,9557036.759956,"FALSE",32.0381965637207,0.0168524961918592,0.00714174238964915,2623.25,2.63285255813653
"1418",712967.726935,9559966.759956,"FALSE",42.3673362731934,-0.0051595619879663,0.00933176558464766,1954.43,2.85026707986905
"176",714637.726935,9557796.759956,"FALSE",27.5401439666748,-0.0525362007319927,-0.0173461735248566,2624.205,4.82063185512345
"1800",713713.5602,9558848.8699,"TRUE",41.9270248413086,-0.0264293123036623,0.00179101421963423,2375.455,2.85942032623561
"16231",713948.5294,9559523.1526,"TRUE",47.3182640075684,-0.0210210587829351,0.00217301561497152,2282.019,2.56169215117995
"510",713477.726935,9560606.759956,"FALSE",19.3424816131592,0.0276875905692577,0.013669298030436,1888.04,2.5788172754776
"16501",714267.2955,9558673.3446,"TRUE",43.3764877319336,-0.023624699562788,0.00500197801738977,2422.79,2.77739159599189
"807",715067.726935,9560216.759956,"FALSE",32.797534942627,-0.0342473462224007,-0.0449396520853043,1860.027,3.9819863193998
"1209",714857.726935,9560486.759956,"FALSE",34.8658638000488,0.0176088605076075,-0.00452393107116222,1859.387,2.69492961728225
"157",715227.726935,9558816.759956,"FALSE",18.9391193389893,0.023954214528203,0.00165533868130296,2451.212,2.52523083213064
"297",714387.726935,9559036.759956,"FALSE",42.1749725341797,0.010310435667634,0.0214764531701803,2284.349,3.09953733513545
"1275",714517.726935,9559226.759956,"FALSE",41.0082473754883,0.00681699765846133,-0.00263005518354475,2318.826,2.65882129623627
"205",712447.726935,9558636.759956,"FALSE",61.8717880249023,-0.0430786907672882,0.00154492491856217,2043.407,2.74197441926658
"1705",714625.9029,9557184.176,"TRUE",44.0758209228516,0.00410298071801662,0.0160627979785204,2760.153,2.90173428140844
"1677",713296.8009,9558608.2431,"TRUE",29.7949047088623,-0.141445845365524,-0.013176872394979,2240.651,3.37785077548866
"719",714707.726935,9560676.759956,"FALSE",55.7450485229492,-0.0138699831441045,0.0225694887340069,1825.793,2.57764758953313
"700",715537.726935,9558276.759956,"FALSE",44.8026351928711,-0.00367236277088523,-0.000315812532790005,2596.169,3.27337588736007
"1783",714762.0855,9560663.1933,"TRUE",33.5926628112793,0.0270984712988138,0.0149360066279769,1793.567,2.72294772905577
"1727",714989.7346,9558514.5361,"TRUE",40.8007469177246,-0.0221864599734545,-0.00733118690550327,2507.2,2.78753039090238
"1702",713822.7664,9557421.1253,"TRUE",52.5657081604004,0.012642321176827,0.00634318916127086,2490.118,2.33959817680489
"502",713257.726935,9559036.759956,"FALSE",31.5483818054199,0.0775406211614609,0.00239514606073499,2265.535,2.42895549499636
"925",713007.726935,9558916.759956,"FALSE",54.499698638916,-0.000137536902911961,0.0117209013551474,2083.924,3.72331061467285
"1651",714409.0535,9558560.4188,"TRUE",45.0398750305176,-0.0253857523202896,-0.000472469924716279,2479.26,2.47708820778035
"711",713167.726935,9558216.759956,"FALSE",45.9744071960449,0.0169619135558605,0.0089449742808938,2353.805,2.47175386402572
"1721",715294.0051,9558685.0407,"TRUE",60.1192169189453,-0.0582565106451511,-0.000903761305380613,2456.333,2.69648759837401
"1697",713600.0403,9557904.9681,"TRUE",35.7771987915039,0.000998557894490659,-0.0115283122286201,2462.448,2.93120312170831
"445",714197.726935,9559696.759956,"FALSE",47.0019989013672,0.0184790007770061,0.00669638905674219,2156.374,2.37566096322964
"1456",712647.726935,9558496.759956,"FALSE",36.8932991027832,-0.0134460059925914,-0.0057720304466784,2145.57,3.72538659144509
"1521",714397.726935,9560046.759956,"FALSE",58.4947166442871,-0.0413753502070904,-0.0111795105040073,2072.295,2.89501537142022
"1665",713152.3201,9558224.0174,"TRUE",41.6880073547363,-0.0854188054800034,-0.00659907888621092,2333.147,3.04488350062831
"533",714537.726935,9558346.759956,"FALSE",16.1702003479004,0.0597019121050835,0.00494512403383851,2636.382,2.26146863235363
"1656",714016.3088,9558062.5604,"TRUE",55.1794052124023,-0.000662849342916161,0.000767412304412574,2497.264,2.87047106126621
"1766",713413.4703,9558165.8046,"TRUE",36.5315628051758,-0.0055978954769671,0.0050330376252532,2420.123,2.40340040705381
"1792",714524.4909,9559449.6117,"TRUE",46.2498664855957,-0.0692303702235222,-0.018643606454134,2256.062,2.75360919133849
"1728",714928.6921,9558646.2297,"TRUE",52.1970291137695,-0.0440170951187611,-0.00959783140569925,2474.28,2.7418345728815
"536",714307.726935,9557666.759956,"FALSE",17.8581657409668,-0.218353882431984,-0.0398112162947655,2526.072,4.74877617998931
"248",715107.726935,9557596.759956,"FALSE",26.9071559906006,0.00374781852588058,0.0166319068521261,2970.441,2.48746764830392
"1638",714638.2804,9559219.0555,"TRUE",42.0248603820801,-0.0848676934838295,-0.0233779065310955,2371.052,3.39434418497509
"1348",713667.726935,9558306.759956,"FALSE",45.7651443481445,0.0344226025044918,0.0102846967056394,2314.239,2.92590202746473
"1745",715178.8844,9559094.8455,"TRUE",44.9468421936035,-0.0539179667830467,-0.0116108935326338,2332.935,2.78014407943184
"855",714647.726935,9558026.759956,"FALSE",29.7044830322266,0.0126971155405045,0.0171859785914421,2760.085,2.42955934531022
"1747",715314.0072,9559121.8761,"TRUE",42.5775375366211,0.0303948111832142,-0.00696405302733183,2313.63,2.33313110221309
"116",713597.726935,9559026.759956,"FALSE",36.2709274291992,-0.000103576210676692,0.0115891927853227,2383.952,2.46684242418299
"585",714497.726935,9560216.759956,"FALSE",50.9925575256348,-0.00197779969312251,0.00657892366871238,2051.737,2.59115173231452
"1668",713228.565,9558174.095,"TRUE",41.7779273986816,-0.00081672053784132,0.000558762811124325,2366.43,2.65148931042635
"17701",713425.6576,9558234.1948,"TRUE",38.3438415527344,0.0129586365073919,0.00125383085105568,2383.792,2.57131363745374
"1781",714533.9925,9560528.5481,"TRUE",32.7879409790039,-0.0137415025383234,-7.01246681273915e-05,1939.318,3.42928345013239
"1027",714687.726935,9559836.759956,"FALSE",29.7473392486572,0.0416724011301994,0.00719234719872475,2171.746,2.43900518196176
"17631",713722.5232,9558048.6954,"TRUE",36.3297462463379,0.00236989627592266,0.00285454071126878,2494.789,2.57820757111224
"861",714287.726935,9557706.759956,"FALSE",41.155345916748,-0.00828730314970016,0.00545525224879384,2552.512,2.7302004514593
"1659",714046.6497,9558375.8131,"TRUE",38.2427978515625,-0.00662153493613005,-0.00455304374918342,2470.985,2.70505020154537
"1159",714717.726935,9560496.759956,"FALSE",23.7014026641846,-0.137048229575157,-0.0172176901251078,1875.46,4.23507865141577
"1069",713877.726935,9560366.759956,"FALSE",31.1091785430908,0.0146404104307294,-0.000312217336613685,2079.598,2.79886437851235
"216",715577.726935,9558486.759956,"FALSE",34.6493453979492,0.0104646189138293,-0.00592658761888742,2616.147,2.62368618743753
"386",712997.726935,9560186.759956,"FALSE",28.4256820678711,0.0918867588043213,0.00185407360550016,1851.676,2.7386614047108
"377",714207.726935,9557956.759956,"FALSE",44.9385452270508,-0.00292725441977382,0.00981414690613747,2577.908,2.64658962598342
"1087",714977.726935,9557076.759956,"FALSE",43.8223838806152,0.0206729006022215,-0.00577521696686745,2894.892,2.3845463008398
"1278",715357.726935,9557236.759956,"FALSE",27.8966331481934,-0.153885647654533,-0.00448178173974156,3078.791,3.94981843803441
"1658",713729.2176,9558168.2085,"TRUE",43.1462478637695,-0.0143661163747311,-0.00424863258376718,2427.422,2.43791301015545
"1720",715175.4369,9558494.377,"TRUE",50.8605880737305,-0.0859968513250351,-0.0135914795100689,2535.731,2.98620038737296
"370",714637.726935,9558376.759956,"FALSE",28.4567070007324,-0.0725409463047981,-0.0280524324625731,2597.162,4.47292375001255
"1769",713325.2978,9558242.1077,"TRUE",42.1283798217773,-0.0134819513186812,0.00329916342161596,2360.599,2.52456400840494
"278",713657.726935,9559616.759956,"FALSE",51.3950119018555,0.0282887928187847,0.0213534347712994,2177.608,2.52610392250366
"682",715577.726935,9557396.759956,"FALSE",39.2870292663574,0.0309767238795757,-0.00556393852457404,3057.09,3.3030245046098
"698",712587.726935,9559416.759956,"FALSE",27.043493270874,0.0720537006855011,-0.0420612767338753,1882.224,3.06544567640076
"1793",714481.2839,9559563.1558,"TRUE",50.0766334533691,-0.00189850165043026,0.00727336574345827,2220.624,2.91313240544538
"352",713067.726935,9558726.759956,"FALSE",40.3289375305176,0.0927426591515541,0.013728748075664,2182.229,2.72978889296058
"452",713377.726935,9559866.759956,"FALSE",48.0263595581055,0.0222912672907114,0.000110759829112794,2041.379,3.88496030644376
"1671",713303.9023,9557954.437,"TRUE",59.6597518920898,-0.00785822607576847,-0.00291157001629472,2331.704,2.6214059715035
"1771",713158.0432,9558386.8128,"TRUE",40.3289947509766,-0.0105656301602721,0.00244227191433311,2313.457,2.52316474363986
"322",713817.726935,9557186.759956,"FALSE",33.8906936645508,-0.00378831662237644,-0.0453754737973213,2482.637,3.04440830482236
"1685",713811.2546,9558034.3855,"TRUE",46.2167167663574,-0.0671710893511772,-0.0125479707494378,2494.378,2.97895349973992
"130",714817.726935,9559546.759956,"FALSE",44.0253486633301,0.00626870105043054,0.0082864360883832,2255.793,3.19452121846446
"1055",712417.726935,9559086.759956,"FALSE",35.6883201599121,-0.0115388529375196,0.0207928363233805,2009.51,3.79712638273854
"1695",713742.7638,9557852.3325,"TRUE",46.9605560302734,-0.0164973493665457,-0.00813544448465109,2485.912,2.66644127990644
"17101",714839.3558,9557896.0971,"TRUE",52.2864074707031,-0.0201852042227983,0.0185004360973835,2782.211,3.10996220704593
"791",714917.726935,9559876.759956,"FALSE",27.5608787536621,0.0149471247568727,-0.00711421342566609,2041.833,2.688118605195
"153",714387.726935,9559746.759956,"FALSE",38.9955177307129,-0.00036910455673933,0.00265259062871337,2196.344,2.69502121670031
"1375",715667.726935,9557316.759956,"FALSE",29.4122161865234,0.049027718603611,0.012421440333128,3122.653,2.20130121256717
"1795",713841.9283,9557469.5873,"TRUE",50.592456817627,0.00341777363792062,-0.00240718759596348,2438.8,2.8085408070229
"1254",715307.726935,9557986.759956,"FALSE",47.4007453918457,0.00243727047927678,0.00866895262151957,2742.931,3.09080692888858
"384",714357.726935,9560016.759956,"FALSE",55.731689453125,-0.0321196652948856,-0.00491310330107808,2092.681,2.95821696362149
"1626",713667.8127,9559309.6113,"TRUE",38.0256729125977,0.00756672956049442,0.00296352850273252,2306.866,2.76308925446102
"413",714367.726935,9557386.759956,"FALSE",39.4304695129395,0.00798667129129171,-0.00290482700802386,2615.193,2.66358263297875
"1603",713095.7674,9559335.8328,"TRUE",52.8696937561035,-0.0292963292449713,-0.00584112294018269,2095.053,3.12185070520672
"591",715387.726935,9557576.759956,"FALSE",42.8253784179688,0.00973885133862495,-0.00140835286583751,3025.074,2.87267493537048
"1711",714923.6891,9557993.2024,"TRUE",41.1300773620605,-0.124734215438366,-0.0186143815517426,2771.435,3.38497343528745
"17581",714605.8302,9558853.4764,"TRUE",53.3416786193848,-0.0375887155532837,0.000895323057193309,2380.302,2.71147553039252
"1629",714015.1406,9559030.286,"TRUE",39.3278427124023,-0.0177679564803839,-0.0106573151424527,2325.691,3.73791521292331
"139",714537.726935,9559376.759956,"FALSE",28.3094997406006,0.057731207460165,0.0138470707461238,2293.833,2.40636345559245
"195",715397.726935,9557886.759956,"FALSE",12.2892332077026,-0.685346901416779,-0.0138256270438433,2763.643,5.2403812854875
"1748",715101.3632,9559141.8468,"TRUE",50.9044532775879,0.00998237263411283,0.00283839972689748,2334.217,2.43654406711938
"602",712827.726935,9560076.759956,"FALSE",18.1648082733154,0.0606356523931026,0.00395739870145917,1900.975,2.64221344412235
"1620",713308.3174,9560136.5938,"TRUE",35.6914749145508,-0.0446981340646744,0.0269526597112417,1954.571,2.91081981104971
"686",714597.726935,9559286.759956,"FALSE",27.3408126831055,0.100034631788731,0.0162662547081709,2347.271,2.37902427850368
"1408",713747.726935,9558046.759956,"FALSE",41.7394256591797,-0.0240527335554361,0.00679180864244699,2486.251,3.072986850861
"29",714127.726935,9558606.759956,"FALSE",43.2549133300781,0.0208115912973881,0.00547574320808053,2459.336,2.50823092697256
"17021",713822.7664,9557421.1253,"TRUE",52.5657081604004,0.012642321176827,0.00634318916127086,2490.118,2.33959817680489
"1516",713587.726935,9559876.759956,"FALSE",41.3594627380371,0.0168404188007116,-0.00829557981342077,2076.304,3.63503888478362
"1635",714214.6504,9559334.8729,"TRUE",36.8797836303711,-0.0338254049420357,-0.010397338308394,2221.244,2.59846174610241
"16251",713598.9416,9559476.7683,"TRUE",49.9017868041992,-0.00726922834292054,0.00092382647562772,2238.277,3.04796863600853
"833",714917.726935,9559326.759956,"FALSE",38.3857345581055,0.0204408504068851,0.00840627960860729,2309.18,2.56024491684057
"1175",714177.726935,9558356.759956,"FALSE",28.2178058624268,-0.0858515277504921,-0.000976693350821733,2527.298,3.11286803068406
"17981",714877.2271,9558362.3616,"TRUE",49.1693649291992,-0.079123854637146,-0.00426706159487367,2577.096,3.24210575122298
"1240",714647.726935,9558996.759956,"FALSE",55.8256072998047,-0.0155852613970637,-0.00739896576851606,2379.243,2.70743187468787
"1023",713897.726935,9558686.759956,"FALSE",42.0575790405273,0.0450959205627441,0.00339623377658427,2441.109,2.65708910239568
"16961",713695.1893,9557818.9291,"TRUE",41.3173332214355,-0.00337384617887437,-0.00443244492635131,2473.132,2.5645197442451
"1687",713413.4601,9558315.3674,"TRUE",50.4270133972168,0.0073416936211288,0.00217612599954009,2342.209,2.49112451762123
"1676",712981.5843,9558751.2005,"TRUE",54.3687057495117,-0.00749230850487947,0.00289358710870147,2173.394,2.5405812205124
"99",713347.726935,9559126.759956,"FALSE",3.01078319549561,0.0643059611320496,0.0159630663692951,2304.904,2.04103405694139
"268",714577.726935,9559766.759956,"FALSE",39.6310081481934,-0.0196145381778479,-0.00212720897980034,2180.843,2.76715636450847
"158",713687.726935,9558526.759956,"FALSE",39.819580078125,-0.0227550193667412,-0.00908753089606762,2286.541,2.41171154689127
"1008",714957.726935,9557886.759956,"FALSE",26.0378913879395,0.0121484752744436,0.0114737479016185,2847.725,2.27759739429592
"1508",715237.726935,9559076.759956,"FALSE",38.126522064209,0.0233487859368324,-0.00265860324725509,2316.828,2.73494025127756
"1329",713797.726935,9558616.759956,"FALSE",28.8392124176025,0.0597645863890648,0.00368972565047443,2364.178,2.72167921604092
"1776",713298.2934,9559145.6994,"TRUE",34.8835220336914,-0.0204571876674891,-0.00672370567917824,2281.13,2.6974117678739
"521",713827.726935,9558406.759956,"FALSE",43.9359016418457,-0.0308756921440363,-0.0148227969184518,2356.035,2.78985765883693
"276",714237.726935,9558566.759956,"FALSE",32.1234588623047,0.0670162886381149,0.00235214061103761,2490.521,2.20317235145154
"105",714457.726935,9559146.759956,"FALSE",24.7425956726074,0.0681091994047165,0.0132892969995737,2359.022,2.22693434171472
"1654",714123.1349,9558478.7278,"TRUE",41.8482093811035,-0.127130210399628,-0.0180012788623571,2492.519,3.16711381250913
"1523",714877.726935,9557036.759956,"FALSE",38.8337783813477,0.00507081486284733,-0.00869177188724279,2835.185,2.49046328165899
"1419",714667.726935,9557246.759956,"FALSE",28.495189666748,-0.0140406703576446,-0.00349860196001828,2790.548,2.8218728865147
"692",714217.726935,9558916.759956,"FALSE",41.3767890930176,-0.0300194378942251,-0.00722225802019238,2327.103,2.82886785378243
"1397",712507.726935,9558886.759956,"FALSE",20.0307159423828,0.0390273444354534,0.0147453118115664,2141.525,2.29278788504394
"1655",713913.8643,9558224.0851,"TRUE",48.2019233703613,0.015203420072794,-0.00239509320817888,2397.244,2.51042362448515
"1021",715097.726935,9558676.759956,"FALSE",41.2809295654297,0.0911215841770172,0.00363937742076814,2455.642,2.25602723140176
"1405",715097.726935,9557276.759956,"FALSE",38.5596389770508,0.00937220919877291,-0.0110418749973178,2929.607,2.4945272345265
"1558",714127.726935,9557586.759956,"FALSE",43.1344680786133,-0.0253570433706045,0.00657977350056171,2567.739,2.7123337088541
"1694",713902.6951,9557777.4279,"TRUE",39.1728935241699,-0.0553243160247803,-0.021983603015542,2431.41,3.89499495540452
"1753",715113.9996,9559589.294,"TRUE",50.3735389709473,-0.000755634275265038,-0.00491883186623454,2154.658,2.65511603210425
"1760",714584.2109,9558692.392,"TRUE",42.3611717224121,-0.071730874478817,-0.00872278399765491,2399.274,3.12890773623406
"1643",714088.3584,9558828.5469,"TRUE",45.9605484008789,-0.122495673596859,-0.0283540040254593,2385.342,3.34522727585184
"1704",713892.3409,9557216.5297,"TRUE",54.650203704834,-0.0431428104639053,0.00152870314195752,2506.507,2.65634880735432
"251",713997.726935,9558186.759956,"FALSE",45.8349304199219,-0.00631508277729154,0.00434586964547634,2390.502,3.831078005355
"1775",712903.4011,9559134.6464,"TRUE",53.6373329162598,-0.0749655291438103,-0.00968184135854244,2092.234,3.08937839734025
"1698",714221.0394,9557990.501,"TRUE",49.4895477294922,-0.0206970386207104,0.00215026503428817,2542.52,2.99217089555313
